variable,min,max,mean,median,std
total_cap,298.2142857142857,298.2142857142857,298.2142857142857,298.2142857142857,0.0
market_cost,12469.571428571428,12469.571428571428,12469.571428571428,12469.571428571428,0.0
lambda_e_avg,5.0,5.0,5.0,5.0,0.0
ls_total,0.0,0.0,0.0,0.0,0.0
rd_volume,58.678818947173745,58.678818947173745,58.678818947173745,58.678818947173745,0.0
rd_cost,17545.24482253497,17545.24482253497,17545.24482253497,17545.24482253497,0.0
curtailment,58.678818947173745,58.678818947173745,58.678818947173745,58.678818947173745,0.0
rd_up_vol,0.0,0.0,0.0,0.0,0.0
rd_down_vol,58.678818947173745,58.678818947173745,58.678818947173745,58.678818947173745,0.0
rd_cost_econ,-58.40086161715473,-58.40086161715473,-58.40086161715474,-58.40086161715473,7.78360568894479e-15
curt_cost,17603.645684152125,17603.645684152125,17603.645684152125,17603.645684152125,0.0
lambda_c_z1,22.5,22.5,22.5,22.5,0.0
lambda_c_z2,30.0,30.0,30.0,30.0,0.0
lambda_c_z3,34.5,34.5,34.5,34.5,0.0
c_dem_z1,20.714285714285715,20.714285714285715,20.71428571428572,20.714285714285715,3.891802844472395e-15
c_dem_z2,155.0,155.0,155.0,155.0,0.0
c_dem_z3,122.5,122.5,122.5,122.5,0.0
nu_c_z1,22.5,22.5,22.5,22.5,0.0
nu_c_z2,30.0,30.0,30.0,30.0,0.0
nu_c_z3,34.5,34.5,34.5,34.5,0.0
req_z1,20.714285714285715,20.714285714285715,20.71428571428572,20.714285714285715,3.891802844472395e-15
req_z2,155.0,155.0,155.0,155.0,0.0
req_z3,122.50000000000003,122.50000000000003,122.50000000000001,122.50000000000003,1.556721137788958e-14
net_import_z1,-10.0,-10.0,-10.0,-10.0,0.0
net_import_z2,-5.0,-5.0,-5.0,-5.0,0.0
net_import_z3,15.0,15.0,15.0,15.0,0.0
c_NL0 0 CCGT,20.714285714285715,20.714285714285715,20.71428571428572,20.714285714285715,3.891802844472395e-15
c_NL0 1 coal,155.0,155.0,155.0,155.0,0.0
c_NL0 10 nuclear,122.5,122.5,122.5,122.5,0.0
