run_id,t,node,demand,ls,curtailment
1,1,NL0 1,85.71428571428571,0.0,43.2142857142857
1,2,NL0 0,10.714285714285714,0.0,7.747994486438187
1,2,NL0 10,160.71428571428575,0.0,1.1805769421332581
1,3,NL0 10,187.50000000000003,0.0,6.535961804316599
2,1,NL0 1,85.71428571428571,0.0,43.2142857142857
2,2,NL0 0,10.714285714285714,0.0,7.747994486438187
2,2,NL0 10,160.71428571428575,0.0,1.1805769421332581
2,3,NL0 10,187.50000000000003,0.0,6.535961804316599
3,1,NL0 1,85.71428571428571,0.0,43.2142857142857
3,2,NL0 0,10.714285714285714,0.0,7.747994486438187
3,2,NL0 10,160.71428571428575,0.0,1.1805769421332581
3,3,NL0 10,187.50000000000003,0.0,6.535961804316599
4,1,NL0 1,85.71428571428571,0.0,43.2142857142857
4,2,NL0 0,10.714285714285714,0.0,7.747994486438187
4,2,NL0 10,160.71428571428575,0.0,1.1805769421332581
4,3,NL0 10,187.50000000000003,0.0,6.535961804316599
5,1,NL0 1,85.71428571428571,0.0,43.2142857142857
5,2,NL0 0,10.714285714285714,0.0,7.747994486438187
5,2,NL0 10,160.71428571428575,0.0,1.1805769421332581
5,3,NL0 10,187.50000000000003,0.0,6.535961804316599
6,1,NL0 1,85.71428571428571,0.0,43.2142857142857
6,2,NL0 0,10.714285714285714,0.0,7.747994486438187
6,2,NL0 10,160.71428571428575,0.0,1.1805769421332581
6,3,NL0 10,187.50000000000003,0.0,6.535961804316599
