run_id,t,D_max,lambda_e,ls,total_gen
1,1,9742.419998168945,0.014999999999929514,0.0,9742.419998168945
1,2,9553.945014953613,0.014999999999929514,0.0,9553.945014953613
1,3,9296.329986572266,0.014999999999929514,0.0,9296.329986572266
1,4,9135.812507629395,0.014999999999929514,0.0,9135.812507629396
1,5,9080.450012207031,0.014999999999929514,0.0,9080.450012207031
1,6,9176.247512817383,0.014999999999929514,0.0,9176.247512817383
1,7,9417.830017089844,0.014999999999929514,0.0,9417.830017089844
1,8,9719.552513122559,0.014999999999929514,0.0,9719.552513122559
1,9,10049.952491760254,0.014999999999929514,0.0,10049.952491760252
1,10,10083.84001159668,0.014999999999929514,0.0,10083.840011596678
1,11,10059.717491149902,0.014999999999929514,0.0,10059.717491149897
1,12,10393.025001525879,0.014999999999929514,0.0,10393.025001525875
1,13,10476.194984436035,0.014999999999929514,0.0,10476.194984436035
1,14,11034.362495422363,19.979914529914595,0.0,11034.362495422358
1,15,11403.747497558594,27.322803680981565,0.0,11403.74749755812
1,16,11795.32250213623,48.08170642066193,0.0,11795.322502136243
1,17,12609.349998474121,48.08170642066193,0.0,12609.349998474121
1,18,12622.34748840332,48.08170642066193,0.0,12622.347488403317
1,19,12348.130012512207,48.08170642066193,0.0,12348.130012512205
1,20,12026.292495727539,48.08170642066193,0.0,12026.29249572754
1,21,11548.737503051758,48.08170642066193,0.0,11548.737503051756
1,22,10981.512496948242,48.08170642066193,0.0,10981.51249694824
1,23,10403.775001525879,48.08170642066193,0.0,10403.775001525875
1,24,10044.457496643066,48.08170642066193,0.0,10044.457496643068
1,25,10156.837493896484,48.08170642066193,0.0,10156.837493896484
1,26,9998.880012512207,48.08170642066193,0.0,9998.880012512205
1,27,10042.145004272461,48.08170642066193,0.0,10042.145004272461
1,28,10234.819984436035,48.08170642066193,0.0,10234.819984436035
1,29,10862.225021362305,48.08170642066193,0.0,10862.225021362303
1,30,11932.387496948242,48.08170642066193,0.0,11932.387496948239
1,31,12663.849983215332,48.08170642066193,0.0,12663.84998321533
1,32,12868.477493286133,48.08170642066193,0.0,12868.47749328613
1,33,12886.079978942871,48.08170642066193,0.0,12886.079978942873
1,34,12976.052520751953,48.08170642066193,0.0,12976.052520751955
1,35,12956.532493591309,48.08170642066193,0.0,12956.532493591363
1,36,13003.020004272461,48.08170642066193,0.0,13003.020004272516
1,37,12976.860000610352,34.113500000000045,0.0,12976.86000061035
1,38,12910.637489318848,27.322803680981565,0.0,12910.637489318391
1,39,12944.412506103516,34.113500000000045,0.0,12944.41250610352
1,40,13187.552490234375,48.08170642066193,0.0,13187.552490234439
1,41,13003.265029907227,48.08170642066193,0.0,13003.26502990728
1,42,12961.81999206543,48.08170642066193,0.0,12961.819992065424
1,43,12976.452491760254,48.08170642066193,0.0,12976.452491760254
1,44,13028.905006408691,48.08170642066193,0.0,13028.90500640869
1,45,12830.159996032715,48.08170642066193,0.0,12830.159996032717
1,46,12107.40998840332,48.08170642066193,0.0,12107.40998840332
1,47,11315.177490234375,48.08170642066193,0.0,11315.177490234371
1,48,10726.617500305176,48.08170642066193,0.0,10726.617500305178
1,49,10701.057495117188,27.322803680981565,0.0,10701.057495116958
1,50,10575.127494812012,27.322803680981565,0.0,10575.127494811375
1,51,10459.97501373291,27.322803680981565,0.0,10459.975013732661
1,52,10321.03002166748,27.322803680981565,0.0,10321.030021667233
1,53,10287.144989013672,34.113500000000045,0.0,10287.144989013674
1,54,10475.829986572266,34.1134999999997,0.0,10475.829986572267
1,55,10816.584991455078,34.1134999999997,0.0,10816.584991455076
1,56,11261.139991760254,34.113500000000045,0.0,11261.139991760254
1,57,11594.872512817383,27.322803680981565,0.0,11594.87251281661
1,58,11792.252494812012,19.979914529914538,0.0,11792.252494812008
1,59,11806.215003967285,34.1135,0.0,11806.215003967283
1,60,11674.682487487793,34.1135,0.0,11674.682487487795
1,61,11569.737487792969,34.1135,0.0,11569.737487792969
1,62,11746.619995117188,19.979914529914538,0.0,11746.61999511718
1,63,11895.19750213623,19.979914529914595,0.0,11895.197502136234
1,64,12238.309997558594,27.322803680981565,0.0,12238.309997558086
1,65,12136.03498840332,34.113500000000045,0.0,12136.034988403313
1,66,11965.23250579834,34.1135,0.0,11965.232505798349
1,67,11943.632499694824,48.08170642066193,0.0,11943.632499694817
1,68,11966.21248626709,48.08170642066193,0.0,11966.212486267086
1,69,12012.720008850098,48.08170642066193,0.0,12012.7200088501
1,70,11609.050018310547,48.08170642066193,0.0,11609.05001831056
1,71,11117.072494506836,34.1134999999997,0.0,11117.072494506836
1,72,10710.234985351562,19.979914529914527,0.0,10710.234985351566
1,73,10527.004997253418,48.08170642066193,0.0,10527.00499725341
1,74,10349.527503967285,48.08170642066193,0.0,10349.527503967283
1,75,10326.519981384277,48.08170642066193,0.0,10326.519981384277
1,76,10591.334991455078,48.08170642066193,0.0,10591.334991455078
1,77,11229.200012207031,48.08170642066193,0.0,11229.200012207033
1,78,11874.744995117188,48.08170642066193,0.0,11874.744995117186
1,79,12452.375,48.08170642066193,0.0,12452.375000000002
1,80,12712.347511291504,48.08170642066193,0.0,12712.3475112915
1,81,12861.33999633789,48.08170642066193,0.0,12861.339996337894
1,82,12962.304985046387,48.08170642066193,0.0,12962.304985046389
1,83,12865.63500213623,48.08170642066193,0.0,12865.635002136234
1,84,12934.562484741211,48.08170642066193,0.0,12934.56248474121
1,85,12919.757514953613,48.08170642066193,0.0,12919.757514953608
1,86,12974.40249633789,48.08170642066193,0.0,12974.402496337887
1,87,13129.05500793457,48.08170642066193,0.0,13129.055007934568
1,88,13589.487518310547,48.08170642066193,0.0,13589.487518310545
1,89,13535.532501220703,48.08170642066193,0.0,13535.5325012207
