run_id,generator,type,bus,zone,cm_offer,lambda_c_z,mu_cm_bud
1,NL0 0 Invest,investable,NL0 0,1,1000.0,59329.069352818755,59329.06935292875
1,NL0 1 Invest,investable,NL0 1,3,1000.0,53935.51759344085,53935.51759357159
1,NL0 10 Invest,investable,NL0 10,1,1000.0,59329.069352818755,59329.06935292875
1,NL0 11 Invest,investable,NL0 11,3,1000.0,53935.51759344085,53935.51759357159
1,NL0 12 Invest,investable,NL0 12,2,0.0,48541.9658340839,48541.96583421443
1,NL0 13 Invest,investable,NL0 13,3,1000.0,53935.51759344085,53935.51759357159
1,NL0 14 Invest,investable,NL0 14,2,1000.0,48541.9658340839,48541.96583421443
1,NL0 15 Invest,investable,NL0 15,2,0.0,48541.9658340839,48541.96583421443
1,NL0 16 Invest,investable,NL0 16,1,0.0,59329.069352818755,59329.06935292875
1,NL0 17 Invest,investable,NL0 17,1,412.87487430649526,59329.069352818755,59329.06935292875
1,NL0 18 Invest,investable,NL0 18,1,0.0,59329.069352818755,59329.06935292875
1,NL0 19 Invest,investable,NL0 19,2,0.0,48541.9658340839,48541.96583421443
1,NL0 2 Invest,investable,NL0 2,2,0.0,48541.9658340839,48541.96583421443
1,NL0 20 Invest,investable,NL0 20,1,1000.0,59329.069352818755,59329.06935292875
1,NL0 21 Invest,investable,NL0 21,1,0.0,59329.069352818755,59329.06935292875
1,NL0 22 Invest,investable,NL0 22,3,0.0,53935.51759344085,53935.51759357159
1,NL0 23 Invest,investable,NL0 23,1,0.0,59329.069352818755,59329.06935292875
1,NL0 24 Invest,investable,NL0 24,1,1000.0,59329.069352818755,59329.06935292875
1,NL0 25 Invest,investable,NL0 25,2,0.0,48541.9658340839,48541.96583421443
1,NL0 26 Invest,investable,NL0 26,2,1000.0,48541.9658340839,48541.96583421443
1,NL0 27 Invest,investable,NL0 27,1,1000.0,59329.069352818755,59329.06935292875
1,NL0 28 Invest,investable,NL0 28,2,609.9811467476056,48541.9658340839,48541.96583421443
1,NL0 3 Invest,investable,NL0 3,1,0.0,59329.069352818755,59329.06935292875
