run_id,generator,type,bus,zone,cm_offer,lambda_c_z,mu_cm_bud
29,NL0 0 Invest,investable,NL0 0,1,0.0,0.0,0.0
29,NL0 1 Invest,investable,NL0 1,3,0.0,34087.40298971138,34087.40298971138
29,NL0 10 Invest,investable,NL0 10,1,0.0,0.0,0.0
29,NL0 11 Invest,investable,NL0 11,3,0.0,34087.40298971138,34087.40298971138
29,NL0 12 Invest,investable,NL0 12,2,0.0,0.0,0.0
29,NL0 13 Invest,investable,NL0 13,3,0.0,34087.40298971138,34087.40298971108
29,NL0 14 Invest,investable,NL0 14,2,0.0,0.0,0.0
29,NL0 15 Invest,investable,NL0 15,2,0.0,0.0,0.0
29,NL0 16 Invest,investable,NL0 16,1,0.0,0.0,0.0
29,NL0 17 Invest,investable,NL0 17,1,0.0,0.0,0.0
29,NL0 18 Invest,investable,NL0 18,1,0.0,0.0,0.0
29,NL0 19 Invest,investable,NL0 19,2,0.0,0.0,0.0
29,NL0 2 Invest,investable,NL0 2,2,0.0,0.0,0.0
29,NL0 20 Invest,investable,NL0 20,1,0.0,0.0,0.0
29,NL0 21 Invest,investable,NL0 21,1,0.0,0.0,0.0
29,NL0 22 Invest,investable,NL0 22,3,1000.0,34087.40298971138,34087.40298971138
29,NL0 23 Invest,investable,NL0 23,1,0.0,0.0,0.0
29,NL0 24 Invest,investable,NL0 24,1,0.0,0.0,0.0
29,NL0 25 Invest,investable,NL0 25,2,0.0,0.0,0.0
29,NL0 26 Invest,investable,NL0 26,2,0.0,0.0,0.0
29,NL0 27 Invest,investable,NL0 27,1,0.0,0.0,0.0
29,NL0 28 Invest,investable,NL0 28,2,0.0,0.0,0.0
29,NL0 3 Invest,investable,NL0 3,1,0.0,0.0,0.0
29,NL0 30 Invest,investable,NL0 30,1,0.0,0.0,0.0
29,NL0 31 Invest,investable,NL0 31,2,0.0,0.0,0.0
29,NL0 33 Invest,investable,NL0 33,1,0.0,0.0,0.0
29,NL0 4 Invest,investable,NL0 4,2,0.0,0.0,0.0
29,NL0 5 Invest,investable,NL0 5,3,400.1047541590523,34087.40298971138,34087.40298971138
29,NL0 6 Invest,investable,NL0 6,3,0.0,34087.40298971138,34087.402989711336
29,NL0 7 Invest,investable,NL0 7,3,1000.0,34087.40298971138,34087.40298971157
29,NL0 8 Invest,investable,NL0 8,1,0.0,0.0,0.0
29,NL0 9 Invest,investable,NL0 9,3,0.0,34087.40298971138,34087.402989711496
29,NL0 0 CCGT,legacy,NL0 0,1,575.0,0.0,0.0
29,NL0 1 biomass,legacy,NL0 1,3,71.0,34087.40298971138,34087.40298971138
29,NL0 1 waste,legacy,NL0 1,3,31.0,34087.40298971138,34087.40298971138
29,NL0 10 CCGT,legacy,NL0 10,1,507.0,0.0,0.0
29,NL0 10 waste,legacy,NL0 10,1,150.0,0.0,0.0
29,NL0 11 CCGT,legacy,NL0 11,3,72.0,34087.40298971138,34087.40298971138
29,NL0 11 biomass,legacy,NL0 11,3,20.0,34087.40298971138,34087.40298971138
29,NL0 11 waste,legacy,NL0 11,3,50.0,34087.40298971138,34087.40298971138
29,NL0 13 CCGT,legacy,NL0 13,3,50.0,34087.40298971138,34087.40298971138
29,NL0 13 biomass,legacy,NL0 13,3,77.0,34087.40298971138,34087.40298971138
29,NL0 16 CCGT,legacy,NL0 16,1,268.0,0.0,0.0
29,NL0 17 CCGT,legacy,NL0 17,1,107.0,0.0,0.0
29,NL0 18 CCGT,legacy,NL0 18,1,112.0,0.0,0.0
29,NL0 19 CCGT,legacy,NL0 19,2,523.0,0.0,0.0
29,NL0 19 biomass,legacy,NL0 19,2,49.0,0.0,0.0
29,NL0 19 waste,legacy,NL0 19,2,36.0,0.0,0.0
29,NL0 2 CCGT,legacy,NL0 2,2,272.5,0.0,0.0
29,NL0 21 CCGT,legacy,NL0 21,1,85.0,0.0,0.0
29,NL0 22 CCGT,legacy,NL0 22,3,100.0,34087.40298971138,34087.40298971138
29,NL0 22 biomass,legacy,NL0 22,3,500.0,34087.40298971138,34087.40298971138
