run_id,bus,new_capacity_mw,scenario,case_study,design,sigma
3,NL0 25,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
3,NL0 26,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
3,NL0 27,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
3,NL0 28,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
3,NL0 3,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
3,NL0 30,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
3,NL0 31,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
3,NL0 33,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
3,NL0 4,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
3,NL0 5,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
3,NL0 6,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
3,NL0 7,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
3,NL0 8,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
3,NL0 9,634.5076028511185,nl34_z1_sigma0,Case Study 1,Country-wide,
4,NL0 0,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
4,NL0 1,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
4,NL0 10,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
4,NL0 11,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
4,NL0 12,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
4,NL0 13,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
4,NL0 14,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
4,NL0 15,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
4,NL0 16,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
4,NL0 17,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
4,NL0 18,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
4,NL0 19,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
4,NL0 2,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
4,NL0 20,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
4,NL0 21,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
4,NL0 22,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
4,NL0 23,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
4,NL0 24,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
4,NL0 25,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
4,NL0 26,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
4,NL0 27,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
4,NL0 28,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
4,NL0 3,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
4,NL0 30,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
4,NL0 31,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
4,NL0 33,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
4,NL0 4,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
4,NL0 5,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
4,NL0 6,634.5076028511185,nl34_z1_sigma0,Case Study 1,Country-wide,
4,NL0 7,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
4,NL0 8,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
4,NL0 9,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
5,NL0 0,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
5,NL0 1,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
5,NL0 10,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
5,NL0 11,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
5,NL0 12,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
5,NL0 13,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
5,NL0 14,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
5,NL0 15,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
5,NL0 16,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
5,NL0 17,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
5,NL0 18,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
5,NL0 19,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
5,NL0 2,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
5,NL0 20,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
5,NL0 21,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
5,NL0 22,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
5,NL0 23,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
5,NL0 24,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
5,NL0 25,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
5,NL0 26,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
5,NL0 27,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
5,NL0 28,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
5,NL0 3,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
5,NL0 30,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
5,NL0 31,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
5,NL0 33,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
5,NL0 4,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
5,NL0 5,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
5,NL0 6,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
5,NL0 7,634.5076028511176,nl34_z1_sigma0,Case Study 1,Country-wide,
5,NL0 8,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
5,NL0 9,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
6,NL0 0,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
6,NL0 1,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
6,NL0 10,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
6,NL0 11,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
6,NL0 12,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
6,NL0 13,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
6,NL0 14,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
6,NL0 15,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
6,NL0 16,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
6,NL0 17,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
6,NL0 18,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
6,NL0 19,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
6,NL0 2,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
6,NL0 20,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
6,NL0 21,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
6,NL0 22,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
6,NL0 23,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
6,NL0 24,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
6,NL0 25,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
6,NL0 26,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
6,NL0 27,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
6,NL0 28,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
6,NL0 3,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
6,NL0 30,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
6,NL0 31,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
6,NL0 33,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
6,NL0 4,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
6,NL0 5,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
6,NL0 6,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
6,NL0 7,634.5076028511185,nl34_z1_sigma0,Case Study 1,Country-wide,
6,NL0 8,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
6,NL0 9,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
7,NL0 0,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
7,NL0 1,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
7,NL0 10,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
7,NL0 11,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
7,NL0 12,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
7,NL0 13,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
7,NL0 14,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
7,NL0 15,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
7,NL0 16,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
7,NL0 17,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
7,NL0 18,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
7,NL0 19,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
7,NL0 2,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
7,NL0 20,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
7,NL0 21,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
7,NL0 22,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
7,NL0 23,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
7,NL0 24,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
7,NL0 25,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
7,NL0 26,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
7,NL0 27,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
7,NL0 28,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
7,NL0 3,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
7,NL0 30,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
7,NL0 31,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
7,NL0 33,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
7,NL0 4,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
7,NL0 5,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
7,NL0 6,634.5076028511185,nl34_z1_sigma0,Case Study 1,Country-wide,
7,NL0 7,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
7,NL0 8,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
7,NL0 9,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
8,NL0 0,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
8,NL0 1,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
8,NL0 10,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
8,NL0 11,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
8,NL0 12,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
8,NL0 13,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
8,NL0 14,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
8,NL0 15,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
8,NL0 16,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
8,NL0 17,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
8,NL0 18,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
8,NL0 19,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
8,NL0 2,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
8,NL0 20,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
8,NL0 21,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
8,NL0 22,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
8,NL0 23,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
8,NL0 24,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
8,NL0 25,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
8,NL0 26,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
8,NL0 27,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
8,NL0 28,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
8,NL0 3,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
8,NL0 30,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
8,NL0 31,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
8,NL0 33,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
8,NL0 4,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
8,NL0 5,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
8,NL0 6,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
8,NL0 7,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
8,NL0 8,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
8,NL0 9,634.5076028511185,nl34_z1_sigma0,Case Study 1,Country-wide,
9,NL0 0,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
9,NL0 1,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
9,NL0 10,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
9,NL0 11,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
9,NL0 12,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
9,NL0 13,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
9,NL0 14,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
9,NL0 15,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
9,NL0 16,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
9,NL0 17,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
9,NL0 18,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
9,NL0 19,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
9,NL0 2,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
9,NL0 20,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
9,NL0 21,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
9,NL0 22,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
9,NL0 23,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
9,NL0 24,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
9,NL0 25,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
9,NL0 26,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
9,NL0 27,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
9,NL0 28,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
9,NL0 3,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
9,NL0 30,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
9,NL0 31,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
9,NL0 33,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
9,NL0 4,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
9,NL0 5,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
9,NL0 6,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
9,NL0 7,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
9,NL0 8,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
9,NL0 9,634.5076028511185,nl34_z1_sigma0,Case Study 1,Country-wide,
10,NL0 0,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
10,NL0 1,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
10,NL0 10,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
10,NL0 11,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
10,NL0 12,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
10,NL0 13,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
10,NL0 14,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
10,NL0 15,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
10,NL0 16,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
10,NL0 17,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
10,NL0 18,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
10,NL0 19,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
10,NL0 2,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
10,NL0 20,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
10,NL0 21,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
10,NL0 22,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
10,NL0 23,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
10,NL0 24,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
10,NL0 25,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
10,NL0 26,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
10,NL0 27,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
10,NL0 28,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
10,NL0 3,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
10,NL0 30,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
10,NL0 31,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
10,NL0 33,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
10,NL0 4,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
10,NL0 5,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
10,NL0 6,634.5076028511185,nl34_z1_sigma0,Case Study 1,Country-wide,
10,NL0 7,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
10,NL0 8,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
10,NL0 9,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
11,NL0 0,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
11,NL0 1,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
11,NL0 10,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
11,NL0 11,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
11,NL0 12,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
11,NL0 13,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
11,NL0 14,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
11,NL0 15,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
11,NL0 16,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
11,NL0 17,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
11,NL0 18,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
11,NL0 19,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
11,NL0 2,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
11,NL0 20,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
11,NL0 21,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
11,NL0 22,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
11,NL0 23,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
11,NL0 24,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
11,NL0 25,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
11,NL0 26,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
11,NL0 27,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
11,NL0 28,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
11,NL0 3,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
11,NL0 30,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
11,NL0 31,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
11,NL0 33,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
11,NL0 4,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
11,NL0 5,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
11,NL0 6,634.5076028511185,nl34_z1_sigma0,Case Study 1,Country-wide,
11,NL0 7,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
11,NL0 8,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
11,NL0 9,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
12,NL0 0,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
12,NL0 1,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
12,NL0 10,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
12,NL0 11,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
12,NL0 12,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
12,NL0 13,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
12,NL0 14,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
12,NL0 15,1000.0,nl34_z1_sigma0,Case Study 1,Country-wide,
12,NL0 16,0.0,nl34_z1_sigma0,Case Study 1,Country-wide,
