run_id,t,generator,bus,q_market,r_up,r_down,q_final,q_max,up_cost,down_refund,lambda_e,vc
3,2,NL0 10 nuclear,NL0 10,122.5,0.0,0.0,122.5,122.5,0.0,0.0,5.0,4.0
3,2,NL0 0 0 solar,NL0 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.01
3,2,NL0 1 0 solar,NL0 1,50.0,0.0,0.0,50.0,50.0,0.0,0.0,5.0,0.01
3,2,NL0 10 0 solar,NL0 10,25.0,0.0,0.0,25.0,25.0,0.0,0.0,5.0,0.01
3,3,NL0 0 CCGT,NL0 0,0.0,0.0,0.0,0.0,20.714285714285715,0.0,0.0,5.0,6.0
3,3,NL0 1 coal,NL0 1,152.5,2.5,0.0,155.0,155.0,12.5,0.0,5.0,5.0
3,3,NL0 10 nuclear,NL0 10,122.5,0.0,0.0,122.5,122.5,0.0,0.0,5.0,4.0
3,3,NL0 0 0 solar,NL0 0,25.0,0.0,7.5000000000000275,17.49999999999997,25.0,0.0,0.07500000000000027,5.0,0.01
3,3,NL0 1 0 solar,NL0 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.01
3,3,NL0 10 0 solar,NL0 10,50.0,0.0,0.0,50.0,50.0,0.0,0.0,5.0,0.01
4,1,NL0 0 CCGT,NL0 0,0.0,0.0,0.0,0.0,20.714285714285715,0.0,0.0,5.0,6.0
4,1,NL0 1 coal,NL0 1,2.5,50.24799448643819,0.0,52.74799448643819,155.0,251.23997243219094,0.0,5.0,5.0
4,1,NL0 10 nuclear,NL0 10,122.5,0.0,17.390851629295316,105.10914837070469,122.5,0.0,69.56340651718126,5.0,4.0
4,1,NL0 0 0 solar,NL0 0,50.0,0.0,32.857142857142875,17.142857142857125,50.0,0.0,0.32857142857142874,5.0,0.01
4,1,NL0 1 0 solar,NL0 1,25.0,0.0,0.0,25.0,25.0,0.0,0.0,5.0,0.01
4,1,NL0 10 0 solar,NL0 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.01
4,2,NL0 0 CCGT,NL0 0,0.0,9.669554219915028,0.0,9.669554219915028,20.714285714285715,58.01732531949017,0.0,5.0,6.0
4,2,NL0 1 coal,NL0 1,102.5,52.5,62.16955421991502,92.83044578008497,155.0,262.5,310.8477710995751,5.0,5.0
4,2,NL0 10 nuclear,NL0 10,122.5,0.0,0.0,122.5,122.5,0.0,0.0,5.0,4.0
4,2,NL0 0 0 solar,NL0 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.01
4,2,NL0 1 0 solar,NL0 1,50.0,0.0,0.0,50.0,50.0,0.0,0.0,5.0,0.01
4,2,NL0 10 0 solar,NL0 10,25.0,0.0,0.0,25.0,25.0,0.0,0.0,5.0,0.01
4,3,NL0 0 CCGT,NL0 0,0.0,0.0,0.0,0.0,20.714285714285715,0.0,0.0,5.0,6.0
4,3,NL0 1 coal,NL0 1,152.5,2.5,0.0,155.0,155.0,12.5,0.0,5.0,5.0
4,3,NL0 10 nuclear,NL0 10,122.5,0.0,0.0,122.5,122.5,0.0,0.0,5.0,4.0
4,3,NL0 0 0 solar,NL0 0,25.0,0.0,7.5000000000000275,17.49999999999997,25.0,0.0,0.07500000000000027,5.0,0.01
4,3,NL0 1 0 solar,NL0 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.01
4,3,NL0 10 0 solar,NL0 10,50.0,0.0,0.0,50.0,50.0,0.0,0.0,5.0,0.01
5,1,NL0 0 CCGT,NL0 0,0.0,0.0,0.0,0.0,20.714285714285715,0.0,0.0,5.0,6.0
5,1,NL0 1 coal,NL0 1,2.5,50.24799448643819,0.0,52.74799448643819,155.0,251.23997243219094,0.0,5.0,5.0
5,1,NL0 10 nuclear,NL0 10,122.5,0.0,17.390851629295316,105.10914837070469,122.5,0.0,69.56340651718126,5.0,4.0
5,1,NL0 0 0 solar,NL0 0,50.0,0.0,32.857142857142875,17.142857142857125,50.0,0.0,0.32857142857142874,5.0,0.01
5,1,NL0 1 0 solar,NL0 1,25.0,0.0,0.0,25.0,25.0,0.0,0.0,5.0,0.01
5,1,NL0 10 0 solar,NL0 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.01
5,2,NL0 0 CCGT,NL0 0,0.0,9.669554219915028,0.0,9.669554219915028,20.714285714285715,58.01732531949017,0.0,5.0,6.0
5,2,NL0 1 coal,NL0 1,102.5,52.5,62.16955421991502,92.83044578008497,155.0,262.5,310.8477710995751,5.0,5.0
5,2,NL0 10 nuclear,NL0 10,122.5,0.0,0.0,122.5,122.5,0.0,0.0,5.0,4.0
5,2,NL0 0 0 solar,NL0 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.01
5,2,NL0 1 0 solar,NL0 1,50.0,0.0,0.0,50.0,50.0,0.0,0.0,5.0,0.01
5,2,NL0 10 0 solar,NL0 10,25.0,0.0,0.0,25.0,25.0,0.0,0.0,5.0,0.01
5,3,NL0 0 CCGT,NL0 0,0.0,0.0,0.0,0.0,20.714285714285715,0.0,0.0,5.0,6.0
5,3,NL0 1 coal,NL0 1,152.5,2.5,0.0,155.0,155.0,12.5,0.0,5.0,5.0
5,3,NL0 10 nuclear,NL0 10,122.5,0.0,0.0,122.5,122.5,0.0,0.0,5.0,4.0
5,3,NL0 0 0 solar,NL0 0,25.0,0.0,7.5000000000000275,17.49999999999997,25.0,0.0,0.07500000000000027,5.0,0.01
5,3,NL0 1 0 solar,NL0 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.01
5,3,NL0 10 0 solar,NL0 10,50.0,0.0,0.0,50.0,50.0,0.0,0.0,5.0,0.01
6,1,NL0 0 CCGT,NL0 0,0.0,0.0,0.0,0.0,20.714285714285715,0.0,0.0,5.0,6.0
6,1,NL0 1 coal,NL0 1,2.5,50.24799448643819,0.0,52.74799448643819,155.0,251.23997243219094,0.0,5.0,5.0
6,1,NL0 10 nuclear,NL0 10,122.5,0.0,17.390851629295316,105.10914837070469,122.5,0.0,69.56340651718126,5.0,4.0
6,1,NL0 0 0 solar,NL0 0,50.0,0.0,32.857142857142875,17.142857142857125,50.0,0.0,0.32857142857142874,5.0,0.01
6,1,NL0 1 0 solar,NL0 1,25.0,0.0,0.0,25.0,25.0,0.0,0.0,5.0,0.01
6,1,NL0 10 0 solar,NL0 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.01
6,2,NL0 0 CCGT,NL0 0,0.0,9.669554219915028,0.0,9.669554219915028,20.714285714285715,58.01732531949017,0.0,5.0,6.0
6,2,NL0 1 coal,NL0 1,102.5,52.5,62.16955421991502,92.83044578008497,155.0,262.5,310.8477710995751,5.0,5.0
6,2,NL0 10 nuclear,NL0 10,122.5,0.0,0.0,122.5,122.5,0.0,0.0,5.0,4.0
6,2,NL0 0 0 solar,NL0 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.01
6,2,NL0 1 0 solar,NL0 1,50.0,0.0,0.0,50.0,50.0,0.0,0.0,5.0,0.01
6,2,NL0 10 0 solar,NL0 10,25.0,0.0,0.0,25.0,25.0,0.0,0.0,5.0,0.01
6,3,NL0 0 CCGT,NL0 0,0.0,0.0,0.0,0.0,20.714285714285715,0.0,0.0,5.0,6.0
6,3,NL0 1 coal,NL0 1,152.5,2.5,0.0,155.0,155.0,12.5,0.0,5.0,5.0
6,3,NL0 10 nuclear,NL0 10,122.5,0.0,0.0,122.5,122.5,0.0,0.0,5.0,4.0
6,3,NL0 0 0 solar,NL0 0,25.0,0.0,7.5000000000000275,17.49999999999997,25.0,0.0,0.07500000000000027,5.0,0.01
6,3,NL0 1 0 solar,NL0 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.01
6,3,NL0 10 0 solar,NL0 10,50.0,0.0,0.0,50.0,50.0,0.0,0.0,5.0,0.01
