run_id,zone,d_c_z,net_import,req_z,c_dem,lambda_c_z,nu_c,rho
1,1,10.714285714285714,-7.5,18.214285714285715,18.214285714285715,22.5,22.5,0.0
1,2,150.0,-3.75,153.75,153.75,30.0,30.0,0.0
1,3,137.50000000000003,11.25,126.25000000000003,126.25,37.5,37.5,0.0
2,1,10.714285714285714,-7.5,18.214285714285715,18.214285714285715,22.5,22.5,0.0
2,2,150.0,-3.75,153.75,153.75,30.0,30.0,0.0
2,3,137.50000000000003,11.25,126.25000000000003,126.25,37.5,37.5,0.0
3,1,10.714285714285714,-7.5,18.214285714285715,18.214285714285715,22.5,22.5,0.0
3,2,150.0,-3.75,153.75,153.75,30.0,30.0,0.0
3,3,137.50000000000003,11.25,126.25000000000003,126.25,37.5,37.5,0.0
4,1,10.714285714285714,-7.5,18.214285714285715,18.214285714285715,22.5,22.5,0.0
4,2,150.0,-3.75,153.75,153.75,30.0,30.0,0.0
4,3,137.50000000000003,11.25,126.25000000000003,126.25,37.5,37.5,0.0
5,1,10.714285714285714,-7.5,18.214285714285715,18.214285714285715,22.5,22.5,0.0
5,2,150.0,-3.75,153.75,153.75,30.0,30.0,0.0
5,3,137.50000000000003,11.25,126.25000000000003,126.25,37.5,37.5,0.0
6,1,10.714285714285714,-7.5,18.214285714285715,18.214285714285715,22.5,22.5,0.0
6,2,150.0,-3.75,153.75,153.75,30.0,30.0,0.0
6,3,137.50000000000003,11.25,126.25000000000003,126.25,37.5,37.5,0.0
