run_id,sigma,model,variable,value
1,1.0,milp,ls[1],0.0
1,1.0,milp,ls[2],0.0
1,1.0,milp,ls[3],0.0
1,1.0,milp,"q[1,NL0 0 CCGT]",20.714285714285715
1,1.0,milp,"q[2,NL0 0 CCGT]",20.714285714285715
1,1.0,milp,"q[3,NL0 0 CCGT]",20.714285714285715
1,1.0,milp,"q[1,NL0 1 coal]",104.28571428571429
1,1.0,milp,"q[2,NL0 1 coal]",155.0
1,1.0,milp,"q[3,NL0 1 coal]",155.0
1,1.0,milp,"q[1,NL0 10 nuclear]",0.0
1,1.0,milp,"q[2,NL0 10 nuclear]",49.285714285714285
1,1.0,milp,"q[3,NL0 10 nuclear]",99.28571428571429
1,1.0,milp,"q[1,NL0 0 0 solar]",50.0
1,1.0,milp,"q[2,NL0 0 0 solar]",0.0
1,1.0,milp,"q[3,NL0 0 0 solar]",25.0
1,1.0,milp,"q[1,NL0 1 0 solar]",25.0
1,1.0,milp,"q[2,NL0 1 0 solar]",50.0
1,1.0,milp,"q[3,NL0 1 0 solar]",0.0
1,1.0,milp,"q[1,NL0 10 0 solar]",0.0
1,1.0,milp,"q[2,NL0 10 0 solar]",25.0
1,1.0,milp,"q[3,NL0 10 0 solar]",50.0
1,1.0,milp,c[NL0 0 CCGT],20.714285714285715
1,1.0,milp,c[NL0 1 coal],155.0
1,1.0,milp,c[NL0 10 nuclear],122.5
1,1.0,milp,c_cm_I[NL0 0 CCGT],20.714285714285715
1,1.0,milp,c_cm_I[NL0 1 coal],155.0
1,1.0,milp,c_cm_I[NL0 10 nuclear],122.5
1,1.0,milp,c_cm_J[NL0 0 0 solar],0.0
1,1.0,milp,c_cm_J[NL0 1 0 solar],0.0
1,1.0,milp,c_cm_J[NL0 10 0 solar],0.0
1,1.0,milp,c_dem[1],20.714285714285715
1,1.0,milp,c_dem[2],155.0
1,1.0,milp,c_dem[3],122.5
1,1.0,milp,"f_trans[(1, 2)]",-5.0
1,1.0,milp,"f_trans[(1, 3)]",-5.0
1,1.0,milp,"f_trans[(2, 3)]",-10.0
1,1.0,milp,lambda_e[1],5.0
1,1.0,milp,lambda_e[2],5.0
1,1.0,milp,lambda_e[3],5.0
1,1.0,milp,lambda_c[1],22.5
1,1.0,milp,lambda_c[2],30.0
1,1.0,milp,lambda_c[3],37.5
1,1.0,milp,lambda_c_sys,0.0
1,1.0,milp,"mu_g_up_I[1,NL0 0 CCGT]",0.0
1,1.0,milp,"mu_g_up_I[2,NL0 0 CCGT]",0.0
1,1.0,milp,"mu_g_up_I[3,NL0 0 CCGT]",0.0
1,1.0,milp,"mu_g_up_I[1,NL0 1 coal]",0.0
1,1.0,milp,"mu_g_up_I[2,NL0 1 coal]",0.0
